pressure_bin,temp_adjusted,psal_adjusted,juld,year,month,day,time,latitude,longitude,source_file,region,salinity_mean,salinity_std,temp_mean,temp_std,salinity_z,temp_z,salinity_flag,temp_flag
"(1800, 1850]",2.656,34.639,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.46283059459459,1.7889563299410558,2.7107114054054056,0.1300286421983358,0.09847607929658907,-0.42076425993861266,normal,normal
"(1900, 1950]",2.571,34.664,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.495391417266184,1.8105290747715486,2.5709651007194245,0.10474171240341298,0.09312669157499856,0.00033319371790711496,normal,normal
"(1950, 2000]",2.495,34.685,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.46166206666667,1.9464621109530689,2.5029948416666667,0.09425368263682532,0.11474044733600164,-0.08482259199857536,normal,normal
"(0, 50]",8.8096,34.3499,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,33.71935374029851,3.8570686863770365,5.611559983044776,4.721061066149631,0.16347809981412714,0.6773985703945697,normal,normal
"(50, 100]",8.8253,34.3503,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,33.72087104253731,3.8574066440709007,5.579217868410447,4.706033856991019,0.16317412591958938,0.6897702460783098,normal,normal
"(100, 150]",8.846666,34.352665,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,33.73649085820895,3.85891292240154,5.581206866589553,4.608471401774237,0.1596755755264832,0.7085774975522825,normal,normal
"(150, 200]",8.9425,34.375748,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,33.80911389552239,3.8645463680508674,5.7358664407462685,4.38481579539012,0.14662370444358355,0.7313040521850328,normal,normal
"(200, 250]",9.2144,34.4472,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,33.91159449253731,3.872092089713286,5.935640307462687,4.130007269947236,0.13832457882021873,0.7938871479466431,normal,normal
"(250, 300]",9.636,34.6086,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,33.9673242761194,3.8765165935374597,5.934098014179105,3.9921962140129397,0.16542576522171332,0.9272845790562377,normal,normal
"(300, 350]",9.330601,34.649,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,33.99593580597015,3.8793778201233673,5.847243797014926,3.883186976817623,0.1683425085956398,0.8970356626607199,normal,normal
"(350, 400]",8.58825,34.58575,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.012127661194036,3.8809834927385536,5.71945551119403,3.787013590064569,0.14780334414697394,0.757534775246755,normal,normal
"(400, 450]",7.8764997,34.53,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.01020513053435,3.9252909088653047,5.5850899480916025,3.661832667111053,0.1324219991674216,0.6257549047745457,normal,normal
"(450, 500]",6.1743336,34.31167,2020-09-02 15:52:32.999997184,2020,9,2,15:52:32.999997,-46.3538,76.3501,nodc_R1901304_273.nc,Southern Ocean,34.248023915384614,2.825534564208919,5.280588066153847,3.4471961204519572,0.02252532509125564,0.2592673879341032,normal,normal
